iter	Passed	Remaining
550	2843	2317
551	2848	2312
552	2853	2306
553	2858	2300
554	2862	2295
555	2867	2290
556	2872	2284
557	2877	2279
558	2882	2273
559	2886	2268
560	2891	2262
561	2896	2257
562	2901	2251
563	2905	2246
564	2909	2240
565	2914	2235
566	2919	2229
567	2924	2224
568	2929	2218
569	2933	2213
570	2938	2207
571	2942	2201
572	2947	2196
573	2952	2191
574	2956	2185
575	2962	2180
576	2966	2175
577	2971	2169
578	2976	2164
579	2981	2158
580	2985	2153
581	2990	2147
582	2995	2142
583	3000	2137
584	3004	2131
585	3009	2125
586	3014	2120
587	3018	2115
588	3023	2110
589	3028	2104
590	3033	2099
591	3038	2093
592	3043	2088
593	3048	2083
594	3053	2078
595	3058	2073
596	3063	2067
597	3068	2062
598	3072	2057
599	3077	2051
600	3082	2046
601	3086	2040
602	3091	2035
603	3096	2030
604	3101	2024
605	3105	2019
606	3110	2013
607	3114	2008
608	3119	2002
609	3123	1997
610	3128	1991
611	3132	1986
612	3137	1980
613	3141	1975
614	3146	1969
615	3150	1964
616	3155	1958
617	3160	1953
618	3164	1948
619	3169	1942
620	3174	1937
621	3178	1931
622	3183	1926
623	3188	1921
624	3193	1915
625	3197	1910
626	3202	1905
627	3207	1900
628	3212	1894
629	3216	1889
630	3220	1883
631	3225	1878
632	3230	1872
633	3234	1867
634	3239	1862
635	3244	1856
636	3248	1851
637	3253	1845
638	3258	1840
639	3263	1835
640	3267	1830
641	3272	1825
642	3277	1819
643	3282	1814
644	3287	1809
645	3300	1808
646	3308	1805
647	3314	1800
648	3319	1795
649	3327	1791
650	3333	1786
651	3338	1782
652	3344	1777
653	3349	1772
654	3355	1767
655	3360	1761
656	3364	1756
657	3369	1751
658	3374	1746
659	3379	1740
660	3383	1735
661	3388	1729
662	3392	1724
663	3397	1719
664	3402	1713
665	3407	1708
666	3411	1703
667	3416	1697
668	3421	1692
669	3425	1687
670	3430	1681
671	3435	1676
672	3440	1671
673	3444	1666
674	3449	1660
675	3453	1655
676	3458	1649
677	3462	1644
678	3467	1639
679	3472	1633
680	3477	1628
681	3481	1623
682	3486	1618
683	3490	1612
684	3495	1607
685	3500	1602
686	3504	1596
687	3509	1591
688	3513	1586
689	3518	1580
690	3522	1575
691	3527	1570
692	3532	1564
693	3537	1559
694	3541	1554
695	3546	1548
696	3551	1543
697	3555	1538
698	3560	1533
699	3565	1527
700	3570	1522
701	3574	1517
702	3579	1512
703	3584	1507
704	3588	1501
705	3592	1496
706	3597	1491
707	3602	1485
708	3607	1480
709	3611	1475
710	3616	1470
711	3621	1464
712	3625	1459
713	3630	1454
714	3635	1449
715	3640	1443
716	3644	1438
717	3649	1433
718	3654	1428
719	3658	1422
720	3663	1417
721	3667	1412
722	3672	1406
723	3676	1401
724	3681	1396
725	3686	1391
726	3690	1385
727	3695	1380
728	3700	1375
729	3704	1370
730	3709	1364
731	3713	1359
732	3718	1354
733	3722	1349
734	3727	1343
735	3732	1338
736	3737	1333
737	3742	1328
738	3747	1323
739	3751	1318
740	3755	1312
741	3760	1307
742	3765	1302
743	3769	1297
744	3773	1291
745	3777	1286
746	3782	1281
747	3786	1275
748	3791	1270
749	3796	1265
750	3800	1260
751	3805	1254
752	3809	1249
753	3814	1244
754	3818	1239
755	3823	1233
756	3828	1229
757	3833	1223
758	3837	1218
759	3841	1213
760	3846	1207
